Gap_Start,Gap_End,Gap_Duration
2002-12-31 23:45:00,2004-01-01 00:00:00,365 days 00:15:00
2004-01-01 00:00:00,2004-01-01 02:00:00,0 days 02:00:00
2004-01-01 02:15:00,2004-01-01 05:15:00,0 days 03:00:00
2004-01-01 05:30:00,2004-01-01 07:15:00,0 days 01:45:00
2004-01-01 07:30:00,2004-01-01 08:30:00,0 days 01:00:00
2004-01-01 08:45:00,2004-01-01 09:15:00,0 days 00:30:00
2004-01-01 09:30:00,2004-01-01 11:30:00,0 days 02:00:00
2004-01-01 11:45:00,2004-01-01 15:45:00,0 days 04:00:00
2004-01-01 16:00:00,2004-01-01 23:45:00,0 days 07:45:00
2004-01-02 00:00:00,2004-01-02 07:45:00,0 days 07:45:00
2004-01-02 08:00:00,2004-01-02 12:00:00,0 days 04:00:00
2004-01-02 12:15:00,2004-01-02 13:00:00,0 days 00:45:00
2004-01-02 13:15:00,2004-01-02 13:45:00,0 days 00:30:00
2004-01-02 14:30:00,2004-01-03 04:00:00,0 days 13:30:00
2004-01-03 04:15:00,2004-01-03 05:30:00,0 days 01:15:00
2004-01-03 05:45:00,2004-01-03 11:00:00,0 days 05:15:00
2004-01-03 11:15:00,2004-01-03 12:45:00,0 days 01:30:00
2004-01-03 13:00:00,2004-01-03 13:30:00,0 days 00:30:00
2004-01-03 13:45:00,2004-01-04 18:00:00,1 days 04:15:00
2004-01-04 18:15:00,2004-01-04 21:45:00,0 days 03:30:00
2004-01-04 22:00:00,2004-01-05 08:30:00,0 days 10:30:00
2004-01-05 08:45:00,2004-01-05 09:30:00,0 days 00:45:00
2004-01-05 10:15:00,2004-01-05 11:00:00,0 days 00:45:00
2004-01-05 13:15:00,2004-01-05 14:30:00,0 days 01:15:00
2004-01-05 14:45:00,2004-01-05 15:45:00,0 days 01:00:00
2004-01-05 16:15:00,2004-01-05 18:15:00,0 days 02:00:00
2004-01-05 18:30:00,2004-01-05 19:15:00,0 days 00:45:00
2004-01-05 19:45:00,2004-01-05 20:30:00,0 days 00:45:00
2004-01-05 20:45:00,2004-01-05 22:15:00,0 days 01:30:00
2004-01-05 22:45:00,2004-01-05 23:45:00,0 days 01:00:00
2004-01-06 00:00:00,2004-01-06 05:15:00,0 days 05:15:00
2004-01-06 05:30:00,2004-01-06 06:30:00,0 days 01:00:00
2004-01-06 06:45:00,2004-01-06 08:00:00,0 days 01:15:00
2004-01-06 08:15:00,2004-01-06 09:45:00,0 days 01:30:00
2004-01-06 10:00:00,2004-01-06 11:00:00,0 days 01:00:00
2004-01-06 11:30:00,2004-01-06 13:45:00,0 days 02:15:00
2004-01-06 14:00:00,2004-01-06 14:45:00,0 days 00:45:00
2004-01-06 15:00:00,2004-01-06 20:45:00,0 days 05:45:00
2004-01-06 21:00:00,2004-01-06 21:30:00,0 days 00:30:00
2004-01-06 22:00:00,2004-01-06 23:00:00,0 days 01:00:00
2004-01-06 23:15:00,2004-01-07 00:00:00,0 days 00:45:00
2004-01-07 00:45:00,2004-01-07 01:45:00,0 days 01:00:00
2004-01-07 03:00:00,2004-01-07 03:30:00,0 days 00:30:00
2004-01-07 04:15:00,2004-01-07 05:00:00,0 days 00:45:00
2004-01-07 05:15:00,2004-01-07 06:00:00,0 days 00:45:00
2004-01-07 06:45:00,2004-01-07 07:15:00,0 days 00:30:00
2004-01-07 08:00:00,2004-01-07 09:15:00,0 days 01:15:00
2004-01-07 09:30:00,2004-01-07 10:15:00,0 days 00:45:00
2004-01-07 10:30:00,2004-01-07 12:15:00,0 days 01:45:00
2004-01-07 12:30:00,2004-01-07 14:15:00,0 days 01:45:00
2004-01-07 14:30:00,2004-01-07 15:00:00,0 days 00:30:00
2004-01-07 15:15:00,2004-01-07 23:45:00,0 days 08:30:00
2004-01-08 00:00:00,2004-01-08 01:00:00,0 days 01:00:00
2004-01-08 01:15:00,2004-01-08 02:30:00,0 days 01:15:00
2004-01-08 02:45:00,2004-01-08 03:45:00,0 days 01:00:00
2004-01-08 04:30:00,2004-01-08 05:15:00,0 days 00:45:00
2004-01-08 05:30:00,2004-01-08 06:00:00,0 days 00:30:00
2004-01-08 06:15:00,2004-01-08 06:45:00,0 days 00:30:00
2004-01-08 07:00:00,2004-01-08 07:30:00,0 days 00:30:00
2004-01-08 07:45:00,2004-01-08 08:15:00,0 days 00:30:00
2004-01-08 09:00:00,2004-01-08 09:30:00,0 days 00:30:00
2004-01-08 10:15:00,2004-01-08 11:15:00,0 days 01:00:00
2004-01-08 11:30:00,2004-01-08 12:00:00,0 days 00:30:00
2004-01-08 12:15:00,2004-01-08 13:00:00,0 days 00:45:00
2004-01-08 13:15:00,2004-01-08 14:30:00,0 days 01:15:00
2004-01-08 15:15:00,2004-01-08 15:45:00,0 days 00:30:00
2004-01-08 16:00:00,2004-01-08 18:00:00,0 days 02:00:00
2004-01-08 18:45:00,2004-01-08 20:15:00,0 days 01:30:00
2004-01-08 20:30:00,2004-01-08 21:15:00,0 days 00:45:00
2004-01-08 21:30:00,2004-01-08 22:45:00,0 days 01:15:00
2004-01-08 23:15:00,2004-01-09 02:00:00,0 days 02:45:00
2004-01-09 02:15:00,2004-01-09 06:00:00,0 days 03:45:00
2004-01-09 06:15:00,2004-01-09 07:15:00,0 days 01:00:00
2004-01-09 07:30:00,2004-01-09 09:30:00,0 days 02:00:00
2004-01-09 09:45:00,2004-01-10 03:30:00,0 days 17:45:00
2004-01-10 03:45:00,2004-01-10 04:45:00,0 days 01:00:00
2004-01-10 05:00:00,2004-01-10 05:30:00,0 days 00:30:00
2004-01-10 05:45:00,2004-01-10 06:30:00,0 days 00:45:00
2004-01-10 06:45:00,2004-01-10 07:45:00,0 days 01:00:00
2004-01-10 08:30:00,2004-01-10 09:00:00,0 days 00:30:00
2004-01-10 09:15:00,2004-01-10 10:00:00,0 days 00:45:00
2004-01-10 10:45:00,2004-01-10 11:30:00,0 days 00:45:00
2004-01-10 11:45:00,2004-01-10 12:15:00,0 days 00:30:00
2004-01-10 12:45:00,2004-01-10 13:15:00,0 days 00:30:00
2004-01-10 13:30:00,2004-01-10 14:00:00,0 days 00:30:00
2004-01-10 14:15:00,2004-01-10 14:45:00,0 days 00:30:00
2004-01-10 15:00:00,2004-01-10 15:45:00,0 days 00:45:00
2004-01-10 17:30:00,2004-01-10 18:30:00,0 days 01:00:00
2004-01-10 19:15:00,2004-01-10 20:00:00,0 days 00:45:00
2004-01-10 20:15:00,2004-01-10 20:45:00,0 days 00:30:00
2004-01-10 21:00:00,2004-01-10 21:45:00,0 days 00:45:00
2004-01-10 22:30:00,2004-01-10 23:30:00,0 days 01:00:00
2004-01-11 00:15:00,2004-01-11 01:15:00,0 days 01:00:00
2004-01-11 01:30:00,2004-01-11 02:00:00,0 days 00:30:00
2004-01-11 02:15:00,2004-01-11 03:00:00,0 days 00:45:00
2004-01-11 03:15:00,2004-01-11 04:15:00,0 days 01:00:00
2004-01-11 05:00:00,2004-01-11 06:45:00,0 days 01:45:00
2004-01-11 07:00:00,2004-01-11 10:00:00,0 days 03:00:00
2004-01-11 10:15:00,2004-01-11 15:00:00,0 days 04:45:00
2004-01-12 07:45:00,2004-01-12 08:15:00,0 days 00:30:00
2004-01-12 10:15:00,2004-01-12 10:45:00,0 days 00:30:00
2004-01-12 11:45:00,2004-01-12 12:15:00,0 days 00:30:00
2004-01-12 12:30:00,2004-01-12 13:00:00,0 days 00:30:00
2004-01-12 13:15:00,2004-01-12 14:00:00,0 days 00:45:00
2004-01-12 14:15:00,2004-01-12 15:00:00,0 days 00:45:00
2004-01-12 15:15:00,2004-01-12 16:30:00,0 days 01:15:00
2004-01-12 16:45:00,2004-01-12 19:30:00,0 days 02:45:00
2004-01-12 19:45:00,2004-01-12 22:00:00,0 days 02:15:00
2004-01-12 22:15:00,2004-01-13 00:45:00,0 days 02:30:00
2004-01-13 01:00:00,2004-01-13 03:30:00,0 days 02:30:00
2004-01-13 04:00:00,2004-01-13 05:45:00,0 days 01:45:00
2004-01-13 06:00:00,2004-01-13 06:30:00,0 days 00:30:00
2004-01-13 06:45:00,2004-01-13 08:30:00,0 days 01:45:00
2004-01-13 09:15:00,2004-01-13 10:30:00,0 days 01:15:00
2004-01-13 10:45:00,2004-01-13 12:45:00,0 days 02:00:00
2004-01-13 18:15:00,2004-01-13 18:45:00,0 days 00:30:00
2004-01-14 01:45:00,2004-01-14 02:15:00,0 days 00:30:00
2004-01-14 03:30:00,2004-01-14 04:00:00,0 days 00:30:00
2004-01-14 04:30:00,2004-01-14 05:00:00,0 days 00:30:00
2004-01-14 06:00:00,2004-01-14 06:30:00,0 days 00:30:00
2004-01-14 06:45:00,2004-01-14 07:30:00,0 days 00:45:00
2004-01-14 08:15:00,2004-01-14 08:45:00,0 days 00:30:00
2004-01-14 10:45:00,2004-01-14 12:00:00,0 days 01:15:00
2004-01-14 12:15:00,2004-01-14 13:00:00,0 days 00:45:00
2004-01-14 13:45:00,2004-01-14 14:15:00,0 days 00:30:00
2004-01-14 14:30:00,2004-01-14 15:30:00,0 days 01:00:00
2004-01-14 15:45:00,2004-01-14 17:00:00,0 days 01:15:00
2004-01-14 17:15:00,2004-01-14 18:15:00,0 days 01:00:00
2004-01-14 18:30:00,2004-01-14 20:30:00,0 days 02:00:00
2004-01-14 20:45:00,2004-01-14 21:15:00,0 days 00:30:00
2004-01-14 21:30:00,2004-01-14 23:15:00,0 days 01:45:00
2004-01-14 23:30:00,2004-01-15 00:30:00,0 days 01:00:00
2004-01-15 00:45:00,2004-01-15 01:15:00,0 days 00:30:00
2004-01-15 01:30:00,2004-01-15 20:00:00,0 days 18:30:00
2004-01-15 20:15:00,2004-01-15 22:30:00,0 days 02:15:00
2004-01-15 22:45:00,2004-01-16 01:00:00,0 days 02:15:00
2004-01-16 01:15:00,2004-01-16 02:45:00,0 days 01:30:00
2004-01-16 03:00:00,2004-01-16 04:30:00,0 days 01:30:00
2004-01-16 04:45:00,2004-01-16 09:00:00,0 days 04:15:00
2004-01-16 09:15:00,2004-01-16 18:00:00,0 days 08:45:00
2004-01-16 18:15:00,2004-01-16 19:15:00,0 days 01:00:00
2004-01-16 19:30:00,2004-01-16 20:15:00,0 days 00:45:00
2004-01-16 20:30:00,2004-01-16 21:00:00,0 days 00:30:00
2004-01-16 22:15:00,2004-01-16 22:45:00,0 days 00:30:00
2004-01-16 23:00:00,2004-01-16 23:30:00,0 days 00:30:00
2004-01-17 00:00:00,2004-01-17 00:45:00,0 days 00:45:00
2004-01-17 01:00:00,2004-01-17 01:30:00,0 days 00:30:00
2004-01-17 01:45:00,2004-01-17 03:45:00,0 days 02:00:00
2004-01-17 04:15:00,2004-01-17 04:45:00,0 days 00:30:00
2004-01-17 05:00:00,2004-01-17 06:30:00,0 days 01:30:00
2004-01-17 06:45:00,2004-01-17 07:30:00,0 days 00:45:00
2004-01-17 07:45:00,2004-01-17 09:15:00,0 days 01:30:00
2004-01-17 10:00:00,2004-01-17 11:00:00,0 days 01:00:00
2004-01-17 11:15:00,2004-01-17 12:00:00,0 days 00:45:00
2004-01-17 12:15:00,2004-01-17 12:45:00,0 days 00:30:00
2004-01-17 13:00:00,2004-01-17 13:45:00,0 days 00:45:00
2004-01-17 14:00:00,2004-01-17 15:15:00,0 days 01:15:00
2004-01-17 15:30:00,2004-01-17 17:00:00,0 days 01:30:00
2004-01-17 17:45:00,2004-01-17 19:15:00,0 days 01:30:00
2004-01-17 19:30:00,2004-01-17 22:15:00,0 days 02:45:00
2004-01-17 22:30:00,2004-01-18 00:45:00,0 days 02:15:00
2004-01-18 01:00:00,2004-01-18 02:45:00,0 days 01:45:00
2004-01-18 03:00:00,2004-01-18 03:30:00,0 days 00:30:00
2004-01-18 03:45:00,2004-01-18 12:45:00,0 days 09:00:00
2004-01-18 13:00:00,2004-01-18 14:15:00,0 days 01:15:00
2004-01-18 14:30:00,2004-01-18 16:00:00,0 days 01:30:00
2004-01-18 16:45:00,2004-01-18 22:00:00,0 days 05:15:00
2004-01-18 22:15:00,2004-01-18 22:45:00,0 days 00:30:00
2004-01-19 00:45:00,2004-01-19 01:45:00,0 days 01:00:00
2004-01-19 02:30:00,2004-01-19 04:15:00,0 days 01:45:00
2004-01-19 04:30:00,2004-01-19 05:00:00,0 days 00:30:00
2004-01-19 05:45:00,2004-01-19 07:30:00,0 days 01:45:00
2004-01-19 07:45:00,2004-01-19 08:45:00,0 days 01:00:00
2004-01-19 09:00:00,2004-01-19 12:15:00,0 days 03:15:00
2004-01-19 12:45:00,2004-01-19 14:00:00,0 days 01:15:00
2004-01-19 14:15:00,2004-01-19 15:45:00,0 days 01:30:00
2004-01-19 16:00:00,2004-01-19 19:00:00,0 days 03:00:00
2004-01-19 19:15:00,2004-01-19 21:00:00,0 days 01:45:00
2004-01-19 21:15:00,2004-01-19 23:00:00,0 days 01:45:00
2004-01-19 23:15:00,2004-01-20 19:00:00,0 days 19:45:00
2004-01-20 19:15:00,2004-01-20 21:15:00,0 days 02:00:00
