drift_group,start_date,end_date,duration_days,mean_difference,max_difference,num_points,min_difference,25th_percentile,75th_percentile
5.0,2000-08-01 10:43:00,2000-09-07 09:23:00,36.94444444444444,6.5,7.0,2,,,
6.0,2000-11-16 11:11:00,2000-11-16 11:11:00,0.0,37.99000000000001,37.99000000000001,1,,,
27.0,2002-12-16 12:38:00,2003-01-08 13:52:00,23.051388888888887,7.0,8.0,2,,,
32.0,2003-07-22 09:22:00,2003-08-20 09:48:00,29.018055555555556,7.5,8.0,2,,,
37.0,2004-03-04 09:59:00,2004-03-04 09:59:00,0.0,75.0,75.0,1,,,
59.0,2005-11-03 09:56:00,2005-11-03 09:56:00,0.0,40.0,40.0,1,,,
74.0,2007-01-16 15:04:00,2007-02-06 14:00:00,20.955555555555556,57.333333333333336,89.0,3,,,
77.0,2007-03-22 14:55:00,2007-03-22 14:55:00,0.0,16.0,16.0,1,,,
80.0,2007-07-16 12:03:00,2007-07-16 12:03:00,0.0,11.0,11.0,1,,,
82.0,2007-10-09 14:28:00,2007-11-05 12:38:00,26.92361111111111,14.5,17.0,2,,,
83.0,2007-12-20 13:00:00,2008-02-08 11:00:00,49.916666666666664,7.333333333333333,8.0,3,,,
88.0,2008-08-11 11:56:00,2008-08-11 11:56:00,0.0,17.0,17.0,1,,,
94.0,2009-01-07 10:53:00,2009-01-12 11:56:00,5.04375,8.0,9.0,2,,,
99.0,2009-03-31 11:45:00,2009-03-31 11:45:00,0.0,12.0,12.0,1,,,
106.0,2009-07-28 16:39:00,2009-07-28 16:39:00,0.0,10.0,10.0,1,,,
120.0,2010-06-17 10:33:00,2010-06-17 10:33:00,0.0,106.0,106.0,1,,,
131.0,2011-01-18 13:22:00,2011-03-09 13:54:00,50.022222222222226,34.25,55.0,4,,,
136.0,2011-07-07 09:40:00,2011-07-07 09:40:00,0.0,7.0,7.0,1,,,
141.0,2011-11-10 10:41:00,2011-12-08 11:15:00,28.023611111111112,28.5,33.0,2,,,
142.0,2012-01-12 11:16:00,2012-01-12 11:16:00,0.0,7.0,7.0,1,,,
145.0,2012-04-19 10:13:00,2012-05-10 10:28:00,21.010416666666668,10.5,15.0,2,,,
146.0,2012-06-18 10:25:00,2012-06-18 10:25:00,0.0,21.0,21.0,1,,,
149.0,2012-09-13 10:09:00,2012-10-04 11:20:00,21.049305555555556,17.0,20.0,2,,,
150.0,2012-11-08 12:30:00,2012-11-08 12:30:00,0.0,12.0,12.0,1,,,
157.0,2013-04-23 13:50:00,2013-05-22 13:31:00,28.986805555555556,5.884999999999991,6.180000000000007,2,,,
161.0,2013-09-10 14:07:00,2013-11-11 12:37:00,61.9375,8.366666666666712,12.940000000000055,3,,,
164.0,2014-03-19 16:15:00,2014-03-19 16:15:00,0.0,6.0400000000000205,6.0400000000000205,1,,,
167.0,2014-07-09 11:58:00,2014-08-12 10:45:00,33.949305555555554,10.58499999999998,12.169999999999959,2,,,
170.0,2014-11-17 11:34:00,2014-11-17 11:34:00,0.0,5.970000000000027,5.970000000000027,1,,,
171.0,2015-01-09 11:00:00,2015-01-09 11:00:00,0.0,29.379999999999995,29.379999999999995,1,,,
172.0,2015-03-05 10:24:00,2015-03-05 10:24:00,0.0,47.97000000000003,47.97000000000003,1,,,
173.0,2015-05-27 08:54:00,2015-11-20 08:42:00,176.99166666666667,29.64374999999997,37.65999999999997,8,,,
177.0,2016-04-07 09:53:00,2017-02-03 10:38:00,302.03125,48.31249999999998,88.30999999999995,12,,,
178.0,2017-03-10 08:40:00,2017-11-13 11:01:00,248.09791666666666,30.662222222222233,71.67000000000007,9,,,
179.0,2018-01-03 07:00:00,2018-01-03 07:00:00,0.0,65.67999999999995,65.67999999999995,1,,,
181.0,2018-04-24 07:51:00,2018-04-24 07:51:00,0.0,14.949999999999989,14.949999999999989,1,,,
186.0,2018-10-17 06:25:00,2022-11-24 09:26:00,1499.1256944444444,13.954605263157891,86.19000000000005,76,,,
188.0,2023-01-31 11:46:00,2023-04-18 11:56:00,77.00694444444444,52.79500000000003,99.96000000000004,4,,,
190.0,2023-07-06 07:38:00,2023-07-06 07:38:00,0.0,6.8799999999999955,6.8799999999999955,1,,,
191.0,2023-09-06 10:39:00,2023-09-06 10:39:00,0.0,5.960000000000036,5.960000000000036,1,,,
192.0,2023-09-26 10:09:00,2023-09-26 10:09:00,0.0,5.360000000000014,5.360000000000014,1,,,
195.0,2024-01-18 10:22:00,2024-02-29 12:28:00,42.0875,5.570000000000012,5.840000000000032,3,,,
198.0,2024-07-04 09:57:00,2024-07-04 09:57:00,0.0,5.639999999999986,5.639999999999986,1,,,
SUMMARY,2000-08-01 10:43:00,2024-07-04 09:57:00,64.7017118863049,22.558404902760778,106.0,168,5.360000000000014,7.0,30.1529861111111
