drift_group,start_date,end_date,duration_days,mean_difference,max_difference,num_points
2.0,2000-03-08 12:00:00,2000-03-08 12:00:00,0.0,11.919999999999959,11.919999999999959,1
12.0,2001-02-08 13:10:00,2001-03-07 09:10:00,26.833333333333332,17.0,22.0,2
33.0,2003-01-13 01:28:00,2003-01-13 01:28:00,0.0,59.0,59.0,1
36.0,2003-05-05 09:09:00,2003-05-05 09:09:00,0.0,12.0,12.0,1
54.0,2004-09-08 10:49:00,2004-09-08 10:49:00,0.0,14.0,14.0,1
68.0,2005-06-15 12:45:00,2005-06-29 08:45:00,13.833333333333334,21.5,24.0,2
71.0,2005-10-04 08:58:00,2005-10-04 08:58:00,0.0,13.0,13.0,1
74.0,2005-12-14 13:15:00,2005-12-14 13:15:00,0.0,21.0,21.0,1
86.0,2006-09-06 08:38:00,2006-11-01 09:03:00,56.017361111111114,26.666666666666668,48.0,3
90.0,2007-02-06 14:30:00,2007-02-08 10:30:00,1.8333333333333333,78.5,82.0,2
95.0,2007-06-13 08:46:00,2007-06-13 08:46:00,0.0,12.0,12.0,1
98.0,2007-10-09 15:57:00,2007-11-05 09:58:00,26.750694444444445,14.0,17.0,2
101.0,2008-03-25 10:16:00,2008-03-25 10:16:00,0.0,39.0,39.0,1
105.0,2008-08-11 09:10:00,2008-08-11 09:10:00,0.0,30.0,30.0,1
112.0,2009-02-04 13:45:00,2009-02-04 13:45:00,0.0,14.0,14.0,1
120.0,2009-05-06 08:16:00,2009-05-14 09:41:00,8.059027777777779,20.666666666666668,26.0,3
127.0,2009-09-09 08:02:00,2009-09-09 08:02:00,0.0,11.0,11.0,1
128.0,2009-09-24 09:20:00,2009-09-24 09:20:00,0.0,12.0,12.0,1
129.0,2009-10-19 08:29:00,2009-11-05 09:40:00,17.049305555555556,15.0,19.0,2
136.0,2010-03-25 09:15:00,2010-03-25 09:15:00,0.0,13.0,13.0,1
137.0,2010-04-21 08:22:00,2010-04-21 08:22:00,0.0,14.0,14.0,1
140.0,2010-07-16 08:23:00,2010-08-24 13:16:00,39.203472222222224,16.333333333333332,19.0,3
141.0,2010-09-30 11:26:00,2010-09-30 11:26:00,0.0,18.0,18.0,1
143.0,2010-11-24 12:33:00,2010-11-24 12:33:00,0.0,25.0,25.0,1
145.0,2011-01-20 15:25:00,2011-01-20 15:25:00,0.0,60.0,60.0,1
147.0,2011-03-15 09:38:00,2011-03-31 13:50:00,16.175,25.5,26.0,2
149.0,2011-05-09 09:06:00,2011-07-06 12:40:00,58.14861111111111,18.5,22.0,2
150.0,2011-09-14 10:10:00,2011-09-14 10:10:00,0.0,21.0,21.0,1
152.0,2011-10-25 11:12:00,2011-10-25 11:12:00,0.0,20.0,20.0,1
155.0,2011-12-09 13:03:00,2011-12-15 11:55:00,5.9527777777777775,12.333333333333334,13.0,3
156.0,2012-01-17 11:51:00,2012-01-17 11:51:00,0.0,25.0,25.0,1
157.0,2012-02-07 12:03:00,2012-02-07 12:03:00,0.0,19.0,19.0,1
168.0,2012-07-05 13:30:00,2012-07-05 13:30:00,0.0,15.0,15.0,1
169.0,2012-08-15 10:37:00,2012-08-15 10:37:00,0.0,39.0,39.0,1
172.0,2012-10-31 13:54:00,2012-10-31 13:54:00,0.0,50.0,50.0,1
176.0,2013-02-05 15:13:00,2013-02-08 13:56:00,2.946527777777778,13.0,14.0,2
