	Date	Init.	W.L [cm]	Board	Flow [l/s]	X-Sec.	Weed	Quality	Width [m]	Mean dept. [m]	Max.Dep. [m]	Hyd.Rad. [m]	V/R(2/3)	Mean. Vel. [m/s]	Max. Vel. [m/s]	Flow. Area [m²]	Wet Perim. [m]	Temp.  [C]	Comment
"1"	"19.12.2024 12:26"	"Nis"	4791,5	2		0	"1"	""											"TID=DNT"
"2"	"26.11.2024 11:11"	"RASP"	4790,4	2	4051,9	3	"0"	"Over middel"	12,83	0,77	1,12			0,41	0,86	9,89			"Afv. 4.8 %, SW 31.19/QRev 4.34 TID=DNT"
"3"	"31.10.2024 10:16"	"RASP"	4768,4	2	2129,3	9	"0"	"God"	7,57	0,66	0,77			0,42	1,01	5,01			"Afv. 3.5 %, SW 31.19/QRev 4.34 TID=DNT"
"4"	"03.10.2024 12:40"	"kije"	4826,1	2	6085,2	6	"2"	"Middel"	9,04	1,23	1,52			0,55	1,15	11,10			"p6 udløb fra vejbro  stangmåling, gt 2, meget vand svært at se evt grøde., 6 tra"
"5"	"10.09.2024 13:05"	"kije"	4778,0	2	2000,4	3	"2"	"God"	12,94	0,66	0,93			0,23	0,73	8,57			"P3, GT 2,, Afv. 3.5 %, SW 31.19/QRev 4.34 TID=DNT"
"6"	"15.08.2024 09:37"	"kije"	4808,2	2	2200,3	3	"4"	"Over middel"	13,16	0,94	1,20			0,18	0,67	12,41			"vademåling, gt4,, Afv. 5.4 %, SW 31.19/QRev 4.34 TID=DNT"
"7"	"04.07.2024 09:57"	"kije"	4787,6	2	2148,4	3	"4"	"Over middel"	13,53	0,73	1,01			0,22	0,69	9,91			"p3, gt4 vademåling, 6 trans, Afv. 5.2 %, SW 31.19/QRev 4.34 TID=DNT"
"8"	"11.06.2024 10:05"	"kije"	4803,7	2	4345,5	3	"2"	"Over middel"	13,63	0,92	1,21			0,35	0,76	12,50			"p3, gt2,, Afv. 4.9 %, SW 31.19/QRev 4.34 TID=DNT"
"9"	"07.05.2024 10:41"	"kije"	4767,0	2	3196,7	3	"0"	"Over middel"	12,77	0,60	0,86			0,42	0,93	7,67			"p3, gt0, vade, Afv. 5.3 %, SW 31.19/QRev 4.34 TID=DNT"
"10"	"10.04.2024 10:15"	"kije"	4800,2	2	7511,4	6	"0"	"Under middel"	9,66	1,08	1,58			0,72	1,56	10,45			"p6, gt0, stang, Afv. 7.5 %, SW 31.19/QRev 4.34 TID=DNT"
"11"	"29.02.2024 12:28"	"kije"	4789,8	2	5896,3	6	"0"	"Middel"	8,46	1,00	1,26			0,70	1,47	8,48			"p6, gt0, stang, 6 trans, Afv. 6.3 %, SW 31.19/QRev 4.34 TID=DNT"
"12"	"30.01.2024 12:38"	"kije"	4813,5	2	8623,9	6	"0"	"Ringe"	10,28	1,18	1,57			0,71	1,52	12,17			"p6, gt0, stang, 6 trans, Afv. 9.4 %, SW 31.19/QRev 4.34 TID=DNT"
"13"	"18.01.2024 10:22"	"kije"	4791,2	2	5576,9	4	"1"	"Middel"	8,73	0,99	1,28			0,65	1,40	8,60			"p3, gt1, vademåling, 6 trans, Afv. 6.0 %, SW 31.19/QRev 4.34 TID=DNT"
"14"	"23.11.2023 11:19"	"kije"	4825,0	2	8332,6	6	"0"	"Middel"	9,55	1,25	1,62			0,70	1,41	11,97			"p6, stang gt0, Afv. 5.8 %, SW 31.19/QRev 4.34 TID=DNT"
"15"	"31.10.2023 09:39"	"kije"	4851,0	2	10919,5	6	"1"	"Middel"	9,57	1,49	1,87			0,77	1,45	14,27			"P6 bromåling udløb, gt1, stangmåling, Afv. 5.5 %, SW 31.19/QRev 4.34 TID=DNT"
"16"	"26.09.2023 10:59"	"frhj"	4796,3	2	2816,5	3	"3"	"Middel"	13,87	0,82	1,11			0,25	0,47	11,32			"Afv. 6.7 %, SW 1.33/QRev 4.34 RS52106007 - MJK TID=DNT"
"17"	"26.09.2023 10:09"	"frhj"	4796,5	2	2754,8	3	"3"	"Middel"	13,70	0,83	1,14			0,24	0,74	11,42			"Afv. 5.7 %, SW 31.19/QRev 4.34 TID=DNT"
"18"	"26.09.2023 09:31"	"Nis"	4796,3	2	2522,7	7	"2"	"Middel"	13,55	0,83	1,11	0,78	0,27	0,23	0,36	11,18	14,29		"TID=DNT"
"19"	"06.09.2023 10:39"	"kije"	4784,3	2	1545,4	3	"4"	"Over middel"	12,95	0,72	1,00			0,16	0,81	9,39			"p3, vademåling gt4, 6 trans, Afv. 4.9 %, SW 31.19/QRev 4.34 TID=DNT"
"20"	"09.08.2023 09:17"	"kije"	4801,1	2	1727,0	3	"3"	"Over middel"	13,36	0,89	1,16			0,15	0,71	11,87			"GT2    vind påvirker måling, 6 trans, Afv. 5.3 %, SW 31.19/QRev 4.34 TID=DNT"
"21"	"06.07.2023 07:38"	"kije"	4788,1	2	1896,6	3	"2"	"Over middel"	13,15	0,77	1,06			0,19	0,74	10,11			"p3, gt 2, vademåling, Afv. 4.7 %, SW 31.19/QRev 4.34 TID=DNT"
"22"	"21.06.2023 08:59"	"kije"	4781,5	2	920,4	3	"5"	"Ringe"	12,88	0,70	0,97			0,10	0,79	8,97			"GT5, p3, 6 trans, Afv. 8.2 %, SW 31.19/QRev 4.34 TID=DNT"
"23"	"26.05.2023 10:32"	"kije"	4766,4	2	1143,3	3	"1"	"Over middel"	12,54	0,58	0,82			0,16	1,02	7,23			"GT1, Vademåling outside 52,3 start skala  52,4 slut, 6 trans, Afv. 5.3 %, SW 31."
"24"	"18.04.2023 11:56"	"kije"	4771,3	2	3250,8	3	"1"	"God"	13,05	0,61	0,90			0,41	0,88	8,01			"gt1, Afv. 3.5 %, SW 31.16/QRev 4.27 TID=DNT"
"25"	"31.03.2023 07:58"	"kije"	4783,8	2	4856,4	3	"0"	"God"	13,65	0,72	1,04			0,49	1,01	9,89			", Afv. 3.5 %, SW 31.16/QRev 4.27 TID=DNT"
"26"	"02.03.2023 14:04"	"kije"	4757,6	2	2372,3	3	"0"	"God"	11,93	0,53	0,78			0,37	0,95	6,38			"P3, Vademåling, gt0, Afv. 4.3 %, SW 31.16/QRev 4.27 TID=DNT"
"27"	"31.01.2023 11:46"	"kije"	4773,3	2	3775,0	3	"0"	"Over middel"	12,92	0,64	0,92			0,45	0,96	8,32			", Afv. 4.5 %, SW 31.16/QRev 4.27 TID=DNT"
"28"	"04.01.2023 14:19"	"kije"	4820,0	2	8532,7	3	"0"	"Over middel"	13,41	1,09	1,38			0,58	1,15	14,62			"gt0,, Afv. 4.8 %, SW 31.16/QRev 4.27 TID=DNT"
"29"	"06.12.2022 13:54"	"kije"	4758,8	2	1735,6	3	"0"	"Over middel"	12,70	0,53	0,73			0,26	0,92	6,77			", 6 trans, Afv. 4.6 %, SW 31.16/QRev 4.27 TID=DNT"
