,actual,corrected,anomaly,predicted
2024-01-01 00:00:00,1290.48,1290.48,False,1290.48
2024-01-01 00:15:00,1292.44,1292.44,False,1292.44
2024-01-01 00:30:00,1293.26,1293.26,False,1293.26
2024-01-01 00:45:00,1288.78,1288.78,False,1288.78
2024-01-01 01:00:00,1290.67,1290.67,False,1290.67
2024-01-01 01:15:00,1288.03,1288.03,False,1288.03
2024-01-01 01:30:00,1281.05,1281.05,False,1281.05
2024-01-01 01:45:00,1288.41,1288.41,False,1288.41
2024-01-01 02:00:00,1285.37,1285.37,False,1285.37
2024-01-01 02:15:00,1286.12,1286.12,False,1286.12
2024-01-01 02:30:00,1284.44,1284.44,False,1284.44
2024-01-01 02:45:00,1280.21,1280.21,False,1280.21
2024-01-01 03:00:00,1279.14,1279.14,False,1279.14
2024-01-01 03:15:00,1273.38,1273.38,False,1273.38
2024-01-01 03:30:00,1277.24,1277.24,False,1277.24
2024-01-01 03:45:00,1280.09,1280.09,False,1280.09
2024-01-01 04:00:00,1274.4,1274.4,False,1274.4
2024-01-01 04:15:00,1273.32,1273.32,False,1273.32
2024-01-01 04:30:00,1273.73,1273.73,False,1273.73
2024-01-01 04:45:00,1278.52,1278.52,False,1278.52
2024-01-01 05:00:00,1272.73,1272.73,False,1272.73
2024-01-01 05:15:00,1272.44,1272.44,False,1272.44
2024-01-01 05:30:00,1268.47,1268.47,False,1268.47
2024-01-01 05:45:00,1270.05,1270.05,False,1270.05
2024-01-01 06:00:00,1268.86,1268.86,False,1268.86
2024-01-01 06:15:00,1262.13,1262.13,False,1262.13
2024-01-01 06:30:00,1267.26,1267.26,False,1267.26
2024-01-01 06:45:00,1267.29,1267.29,False,1267.29
2024-01-01 07:00:00,1265.22,1265.22,False,1265.22
2024-01-01 07:15:00,1262.53,1262.53,False,1262.53
2024-01-01 07:30:00,1262.0,1262.0,False,1262.0
2024-01-01 07:45:00,1256.26,1256.26,False,1256.26
2024-01-01 08:00:00,1260.56,1260.56,False,1260.56
2024-01-01 08:15:00,1257.27,1257.27,False,1257.27
2024-01-01 08:30:00,1255.53,1255.53,False,1255.53
2024-01-01 08:45:00,1256.49,1256.49,False,1256.49
2024-01-01 09:00:00,1256.83,1256.83,False,1256.83
2024-01-01 09:15:00,1252.42,1252.42,False,1252.42
2024-01-01 09:30:00,1250.67,1250.67,False,1250.67
2024-01-01 09:45:00,1253.37,1253.37,False,1253.37
2024-01-01 10:00:00,1247.07,1247.07,False,1247.07
2024-01-01 10:15:00,1237.71,1237.71,False,1237.71
2024-01-01 10:30:00,1247.67,1247.67,False,1247.67
2024-01-01 10:45:00,1246.49,1246.49,False,1246.49
2024-01-01 11:00:00,1237.77,1237.77,False,1237.77
2024-01-01 11:15:00,1244.63,1244.63,False,1244.63
2024-01-01 11:30:00,1241.51,1241.51,False,1241.51
2024-01-01 11:45:00,1240.67,1240.67,False,1240.67
2024-01-01 12:00:00,1238.46,1238.46,False,1238.46
2024-01-01 12:15:00,1237.22,1237.22,False,1237.22
2024-01-01 12:30:00,1238.2,1238.2,False,1238.2
2024-01-01 12:45:00,1232.83,1232.83,False,1232.83
2024-01-01 13:00:00,1233.48,1233.48,False,1233.48
2024-01-01 13:15:00,1231.74,1231.74,False,1231.74
2024-01-01 13:30:00,1231.76,1231.76,False,1231.76
2024-01-01 13:45:00,1228.11,1228.11,False,1228.11
2024-01-01 14:00:00,1228.1,1228.1,False,1228.1
2024-01-01 14:15:00,1225.9,1225.9,False,1225.9
2024-01-01 14:30:00,1223.57,1223.57,False,1223.57
2024-01-01 14:45:00,1222.9,1222.9,False,1222.9
2024-01-01 15:00:00,1222.83,1222.83,False,1222.83
2024-01-01 15:15:00,1223.92,1223.92,False,1223.92
2024-01-01 15:30:00,1223.11,1223.11,False,1223.11
