config_name,hidden_size,num_layers,sequence_length,learning_rate,objective_function,best_val_loss,rmse,mae,r2,peak_rmse,peak_mae,epochs_trained,final_val_loss
h128_l2_s25000_lr0.001_smoothL1_loss,128,2,25000,0.001,smoothL1_loss,0.12803815305233002,650.2540893554688,622.2794189453125,-1.0,1010.7833251953125,999.9970092773438,75,0.1822337806224823
h128_l2_s25000_lr0.001_momentum_smoothL1_loss,128,2,25000,0.001,momentum_smoothL1_loss,0.13058649003505707,654.6513671875,626.1649780273438,-1.0,1031.5147705078125,1019.3689575195312,77,0.15976719558238983
h128_l2_s25000_lr0.0001_smoothL1_loss,128,2,25000,0.0001,smoothL1_loss,0.13403105735778809,657.955322265625,632.8675537109375,-1.0,1021.1522216796875,1016.8972778320312,101,0.1420336663722992
h128_l2_s25000_lr0.0001_momentum_smoothL1_loss,128,2,25000,0.0001,momentum_smoothL1_loss,0.12900058925151825,659.702392578125,634.5073852539062,-1.0,1026.5880126953125,1019.524658203125,108,0.13899312913417816
h128_l2_s25000_lr1e-05_smoothL1_loss,128,2,25000,1e-05,smoothL1_loss,0.1471739262342453,653.5161743164062,629.874755859375,-1.0,992.8556518554688,990.367431640625,436,0.14788630604743958
h128_l2_s25000_lr1e-05_momentum_smoothL1_loss,128,2,25000,1e-05,momentum_smoothL1_loss,0.14696194231510162,655.9144287109375,631.9324340820312,-1.0,1007.4666137695312,1004.1763916015625,357,0.1475507915019989
h128_l2_s35000_lr0.001_smoothL1_loss,128,2,35000,0.001,smoothL1_loss,0.12523992359638214,648.1513671875,621.3101196289062,-1.0,1001.541015625,989.7070922851562,61,0.17770636081695557
h128_l2_s35000_lr0.001_momentum_smoothL1_loss,128,2,35000,0.001,momentum_smoothL1_loss,0.12426701933145523,648.4403686523438,623.653076171875,-1.0,989.9739990234375,978.5857543945312,56,0.16526339948177338
h128_l2_s35000_lr0.0001_smoothL1_loss,128,2,35000,0.0001,smoothL1_loss,0.1345798373222351,655.2163696289062,630.1267700195312,-1.0,1010.396728515625,1003.3257446289062,102,0.1438431441783905
h128_l2_s35000_lr0.0001_momentum_smoothL1_loss,128,2,35000,0.0001,momentum_smoothL1_loss,0.13248176872730255,657.2642211914062,631.6883544921875,-1.0,1021.7786254882812,1014.5238037109375,131,0.14093337953090668
h128_l2_s35000_lr1e-05_smoothL1_loss,128,2,35000,1e-05,smoothL1_loss,0.14925946295261383,653.3444213867188,629.43212890625,-1.0,1006.4017944335938,1001.822509765625,495,0.14934144914150238
h128_l2_s35000_lr1e-05_momentum_smoothL1_loss,128,2,35000,1e-05,momentum_smoothL1_loss,0.14254038035869598,657.8331298828125,633.8242797851562,-1.0,1013.8982543945312,1010.4667358398438,825,0.14274948835372925
h128_l2_s45000_lr0.001_smoothL1_loss,128,2,45000,0.001,smoothL1_loss,0.12648694217205048,649.2952270507812,623.8489990234375,-1.0,1000.4083251953125,989.8970336914062,56,0.16043314337730408
h128_l2_s45000_lr0.001_momentum_smoothL1_loss,128,2,45000,0.001,momentum_smoothL1_loss,0.12461923062801361,654.4415893554688,629.3018798828125,-1.0,1004.06396484375,994.3781127929688,60,0.15386782586574554
h128_l2_s45000_lr0.0001_smoothL1_loss,128,2,45000,0.0001,smoothL1_loss,0.1389305293560028,656.2286376953125,631.6013793945312,-1.0,1015.7134399414062,1009.7007446289062,85,0.14639513194561005
h128_l2_s45000_lr0.0001_momentum_smoothL1_loss,128,2,45000,0.0001,momentum_smoothL1_loss,0.1390574425458908,657.7908325195312,632.55419921875,-1.0,1028.0869140625,1021.478515625,125,0.14058491587638855
h128_l2_s45000_lr1e-05_smoothL1_loss,128,2,45000,1e-05,smoothL1_loss,0.15329423546791077,659.2725830078125,635.3161010742188,-1.0,1007.4053344726562,1003.2648315429688,368,0.15424706041812897
h128_l2_s45000_lr1e-05_momentum_smoothL1_loss,128,2,45000,1e-05,momentum_smoothL1_loss,0.15260948240756989,652.9432373046875,630.1268310546875,-1.0,991.9498291015625,988.23095703125,360,0.15618698298931122
h128_l2_s55000_lr0.001_smoothL1_loss,128,2,55000,0.001,smoothL1_loss,0.12927250564098358,652.2843627929688,626.87646484375,-1.0,1003.5651245117188,992.3274536132812,69,0.15749885141849518
h128_l2_s55000_lr0.001_momentum_smoothL1_loss,128,2,55000,0.001,momentum_smoothL1_loss,0.1315491497516632,646.9401245117188,620.8513793945312,-1.0,999.9794311523438,989.5086059570312,61,0.16241982579231262
h128_l2_s55000_lr0.0001_smoothL1_loss,128,2,55000,0.0001,smoothL1_loss,0.12891629338264465,660.320068359375,634.2230834960938,-1.0,1031.364013671875,1024.341552734375,122,0.13544166088104248
h128_l2_s55000_lr0.0001_momentum_smoothL1_loss,128,2,55000,0.0001,momentum_smoothL1_loss,0.13338398933410645,660.6849365234375,634.064453125,-1.0,1033.873046875,1028.0692138671875,137,0.13658469915390015
h128_l2_s55000_lr1e-05_smoothL1_loss,128,2,55000,1e-05,smoothL1_loss,0.1439024806022644,656.3252563476562,632.33984375,-1.0,1005.595947265625,1002.5841064453125,1000,0.14403016865253448
h128_l2_s55000_lr1e-05_momentum_smoothL1_loss,128,2,55000,1e-05,momentum_smoothL1_loss,0.14673668146133423,654.3558959960938,630.6011352539062,-1.0,1002.9913330078125,1000.0716552734375,989,0.1469104290008545
h256_l2_s25000_lr0.001_smoothL1_loss,256,2,25000,0.001,smoothL1_loss,0.11987082660198212,634.0943603515625,604.5921630859375,-1.0,1001.4146118164062,989.3030395507812,65,0.20406219363212585
h256_l2_s25000_lr0.001_momentum_smoothL1_loss,256,2,25000,0.001,momentum_smoothL1_loss,0.11817441880702972,649.4403076171875,623.6296997070312,-1.0,990.468994140625,980.2340698242188,53,0.17389805614948273
h256_l2_s25000_lr0.0001_smoothL1_loss,256,2,25000,0.0001,smoothL1_loss,0.13214384019374847,658.100341796875,631.9219970703125,-1.0,1029.5113525390625,1021.8872680664062,116,0.1405014842748642
