	Date	Init.	W.L [cm]	Board	Flow [l/s]	X-Sec.	Weed	Quality	Width [m]	Mean dept. [m]	Max.Dep. [m]	Hyd.Rad. [m]	V/R(2/3)	Mean. Vel. [m/s]	Max. Vel. [m/s]	Flow. Area [m²]	Wet Perim. [m]	Temp.  [C]	Comment
"1"	"03.12.2024 11:05"	"antr"	160,0	3	17023,0	4	"1"	"Over middel"	26,36	1,49	2,24			0,43	1,00	39,35			"Afv. 5.1 %, SW 31.19/QRev 4.34 TID=DNT"
"2"	"20.11.2024 14:06"	"antr"	146,3	3	13767,6	4	"2"	"Middel"	25,93	1,34	2,10			0,40	0,94	34,84			"Afv. 6.8 %, SW 31.19/QRev 4.34 TID=DNT"
"3"	"16.10.2024 09:48"	"antr"	191,0	3	21987,9	4	"2"	"Middel"	28,57	2,00	2,96			0,38	0,96	57,21			"6 trans, Afv. 6.5 %, SW 31.19/QRev 4.34 TID=DNT"
"4"	"13.09.2024 08:07"	"kije"	187,5	3	19111,2	2	"3"	"Under middel"	27,42	1,89	2,36			0,37	1,08	51,89			"p2, gt 3  stang måling, Afv. 7.1 %, SW 31.19/QRev 4.34 TID=DNT"
"5"	"19.08.2024 13:52"	"Nis"	170,4	3	16992,8	2	"5"	"Over middel"	30,80	1,70	2,19			0,32	1,10	52,36			"6 trans, Afv. 4.5 %, SW 31.19/QRev 4.34 TID=DNT"
"6"	"06.08.2024 12:38"	"Nis"	170,2	3		0	"4"	""											"TID=DNT"
"7"	"09.07.2024 09:30"	"kije"	180,0	3	19479,3	2	"3"	"Middel"	28,06	1,88	2,28			0,37	1,01	52,84			"p2, gt3, Afv. 5.5 %, SW 31.19/QRev 4.34  OBS!! grødeskæring igang mellem tvilum"
"8"	"29.05.2024 12:30"	"Nis"	139,9	3	14602,0	4	"2"	"God"	31,01	1,43	1,94			0,33	1,02	44,45			"Afv. 3.9 %, SW 31.19/QRev 4.34 TID=DNT"
"9"	"16.05.2024 10:42"	"antr"	127,8	3	17205,5	4	"2"	"Over middel"	26,67	1,20	1,90			0,54	1,11	31,99			"g: 2, Afv. 4.7 %, SW 31.19/QRev 4.34 TID=DNT"
"10"	"11.04.2024 13:32"	"Nis"	175,0	3	34527,9	2	"0"	"God"	28,32	1,60	2,43			0,76	1,41	45,45			"Afv. 3.7 %, SW 31.19/QRev 4.34 TID=DNT"
"11"	"23.02.2024 10:30"	"Nis"	212,5	3	46746,2	4	"0"	"God"	28,22	1,99	2,85			0,83	1,56	56,17			"Afv. 3.7 %, SW 31.19/QRev 4.34 TID=DNT"
"12"	"31.01.2024 13:34"	"Nis"	210,5	3	44126,1	2	"0"	"God"	28,10	1,99	2,79			0,79	1,49	55,84			"Afv. 4.0 %, SW 31.19/QRev 4.34 TID=DNT"
"13"	"16.01.2024 09:25"	"Nis"	191,1	3		0	"0"	""											"TID=DNT"
"14"	"04.01.2024 12:03"	"Nis"	215,7	3	43993,0	2	"0"	"Middel"	27,17	2,06	2,83			0,78	1,47	56,08			"Afv. 6.6 %, SW 31.19/QRev 4.34 TID=DNT"
"15"	"14.12.2023 10:25"	"Nis"	183,9	3	31342,3	2	"0"	"God"	27,25	1,73	2,50			0,67	1,26	47,07			"Afv. 4.3 %, SW 31.19/QRev 4.34 TID=DNT"
"16"	"07.12.2023 10:16"	"Nis"	180,8	3		0	"1"	""											"TID=DNT"
"17"	"07.11.2023 13:44"	"kije"	215,0	3	36957,5	4	"0"	"God"	28,27	2,12	2,75			0,62	1,27	59,89			"gt0, p3  15m ns skala, 6 trans, Afv. 4.3 %, SW 31.19/QRev 4.34  snor fra bro TID"
"18"	"26.10.2023 12:34"	"Nis"	186,2	3		0	"2"	""											"TID=DNT"
"19"	"09.10.2023 14:00"	"Nis"	176,3	3	23750,2	2	"3"	"Over middel"	29,01	1,78	2,29			0,46	1,15	51,50			"Afv. 4.5 %, SW 31.19/QRev 4.34 TID=DNT"
"20"	"29.08.2023 12:27"	"Nis"	135,7	3	13906,0	2	"2"	"God"	27,57	1,47	1,86			0,34	1,01	40,52			"Afv. 4.3 %, SW 31.19/QRev 4.34 TID=DNT"
"21"	"22.08.2023 10:01"	"kije"	129,4	3		0	""	""											"TID=DNT"
"22"	"13.07.2023 09:33"	"Nis"	142,6	3	13382,4	2	"4"	"God"	28,64	1,51	1,93			0,31	0,97	43,29			"Afv. 4.0 %, SW 31.19/QRev 4.34 TID=DNT"
"23"	"19.06.2023 10:55"	"Nis"	119,7	3		2	"0"	"Middel"											"TID=DNT"
"24"	"16.06.2023 09:50"	"Nis"	120,6	3	6485,9	2	"4"	"Over middel"	27,61	1,32	1,70			0,18	0,64	36,49			"6 trans, Afv. 4.9 %, SW 31.19/QRev 4.34 TID=DNT"
