id,latitude,longitude
5005,57.5705,10.1074
5009,57.4185,9.7607
5009,57.4219,9.7612
5015,57.4029,10.2704
5031,57.2746,11.0292
5035,57.2215,10.471
5042,56.9564,10.2232
5065,56.8136,9.8247
5065,56.814,9.8245
5070,56.7157,10.1644
5075,56.6646,9.7204
5075,56.6509,9.7012
5081,56.879,9.4041
5085,57.0143,9.2889
5085,57.0143,9.2877
5089,57.1518,8.9649
5095,56.9514,8.3774
5095,56.951,8.3769
5105,56.8334,8.7296
5109,56.7637,9.0945
5135,56.2763,9.6213
5140,56.5665,10.1004
5150,56.5062,10.4403
5160,56.1103,10.5466
5165,55.8322,10.6185
5169,55.9126,10.2535
5169,55.9117,10.2565
5169,55.9115,10.253
5169,55.9115,10.253
5185,56.1496,9.7877
5185,56.1496,9.7875
5199,56.0761,9.3298
5202,55.9603,9.3768
5205,55.961,9.7022
5220,55.7102,9.9962
5225,55.8314,9.5533
5225,55.8311,9.5531
5269,55.8528,9.0163
5269,55.8528,9.0162
5272,55.9654,9.1168
5276,56.0372,9.1594
5277,56.0626,8.9854
5290,56.6489,8.5246
5290,56.6553,8.5476
5296,56.5032,8.1465
5300,56.2604,8.1659
5300,56.2601,8.1653
5305,56.1828,8.4716
5305,56.1826,8.4712
5305,56.1789,8.4795
5305,56.1837,8.4871
5320,55.7246,8.6933
5320,55.7247,8.6933
5320,55.7246,8.6932
5329,55.7199,8.3425
5329,55.723,8.3327
5343,55.4929,8.9036
5345,55.3286,8.7433
5345,55.329,8.7436
5350,55.0561,8.8326
5350,55.0562,8.8327
5355,54.9872,8.6652
5365,54.9377,9.4092
5365,54.9316,9.4116
5375,55.0646,9.6811
5375,55.0646,9.68
5381,55.147,9.2058
5381,55.147,9.2057
5395,55.2555,9.6684
5400,55.4927,9.8949
5400,55.4935,9.8953
5406,55.5815,10.393
5408,55.4749,10.3305
5435,55.0977,10.1025
5435,55.0978,10.1009
5440,55.0741,10.4211
5440,55.0721,10.4249
5450,54.7567,10.7094
5455,54.9463,10.7234
5469,55.3041,10.7279
5469,55.3041,10.728
5469,55.3474,10.7618
5469,55.3474,10.7618
5499,55.4069,11.8623
5499,55.4069,11.8621
5499,55.4026,11.8648
5505,55.5633,11.709
5510,55.5271,11.238
5510,55.5266,11.2383
5510,55.5183,11.2329
5529,55.7521,11.3309
5529,55.7489,11.3374
5537,55.6366,11.4942
5545,55.8689,11.6053
5545,55.8687,11.6064
5575,56.0428,12.292
5575,56.0429,12.2918
5735,55.6878,12.5742
5735,55.6877,12.5739
5735,55.6858,12.5768
5735,55.6858,12.5768
5880,55.2932,12.4223
5880,55.2931,12.4218
5889,55.2075,12.098
5889,55.2076,12.0981
5935,55.0983,11.8285
5935,55.0987,11.8285
5945,54.9798,11.5336
5945,54.98,11.5336
5960,54.826,11.1541
5960,54.8238,11.1539
5960,54.8238,11.1539
5970,54.6573,11.3515
5981,54.7793,11.931
5986,54.9922,12.4538
5986,54.9923,12.4537
5986,54.9963,12.444
5986,54.96,12.24
5994,55.163,14.9683
6018,56.3442,4.2719
6019,56.93,8.6412
6023,55.5797,4.7587
6023,55.5797,4.7587
6030,57.0963,9.8505
6030,57.0963,9.8505
6031,57.1852,9.9527
6032,57.3828,10.3349
6032,57.3828,10.3349
6034,57.5044,10.2227
6034,57.5044,10.2227
6034,57.5044,10.2228
6034,57.5044,10.2228
6041,57.7363,10.6318
6041,57.7364,10.6316
6041,57.7364,10.6316
6049,56.5604,10.0929
6049,56.5604,10.0929
6051,56.7637,8.3207
6052,56.705,8.2206
6052,56.7004,8.2215
6052,56.7068,8.215
6052,56.7068,8.215
6056,56.383,8.6705
6056,56.383,8.6705
6058,56.0005,8.1293
6058,56.0072,8.1413
6058,56.0072,8.1413
6060,56.2935,9.1138
6065,56.6928,9.482
6065,56.6932,9.4968
6065,56.7558,9.5067
6065,56.7558,9.5067
6068,56.0939,9.1811
6068,56.0939,9.1811
6069,56.4931,9.5709
6069,56.4931,9.5709
6070,56.3083,10.6254
6070,56.3083,10.6254
6072,56.3027,10.1272
6072,56.3027,10.1272
6073,56.0954,10.5134
6073,56.0955,10.5135
6073,56.0955,10.5135
6074,56.1945,10.1703
6074,56.0803,10.1353
6074,56.0803,10.1353
6079,56.736,11.6511
6079,56.7034,11.547
6079,56.7011,11.5436
6079,56.7169,11.5098
6079,56.7169,11.5098
6080,55.5281,8.5626
6080,55.5281,8.5626
6081,55.5576,8.083
6081,55.5575,8.0828
6081,55.5575,8.0828
6082,55.9591,8.6242
6088,55.4483,8.4003
6088,55.4484,8.4
6093,55.2908,8.6551
6093,55.2908,8.6551
6096,55.1908,8.56
6096,55.1904,8.5599
6102,55.868,9.7872
6102,55.868,9.7872
6104,55.7379,9.1674
6104,55.7379,9.1674
6108,55.4376,9.3338
6108,55.4376,9.3338
6109,55.4715,9.1124
6110,55.2251,9.2634
6110,55.2251,9.2634
6116,54.8987,9.123
6116,54.8986,9.1229
6116,54.8986,9.1229
6116,54.8978,9.1282
6116,54.8977,9.1284
6116,54.8977,9.1284
6116,54.8977,9.1284
6118,54.9616,9.793
6118,54.9616,9.793
6119,54.8529,9.988
6119,54.8528,9.988
6119,54.8528,9.988
6120,55.4735,10.3297
6120,55.4749,10.3305
6120,55.4748,10.3304
6120,55.4748,10.3304
6123,55.3106,9.8928
6123,55.2444,9.8882
6123,55.2444,9.8882
6124,55.0142,10.5686
6124,55.0144,10.5693
6124,55.0144,10.5693
6126,55.3088,10.4398
6126,55.3088,10.4398
6132,55.8315,10.6217
6135,55.3224,11.3879
6135,55.3224,11.3879
6136,55.2465,11.3285
6138,54.8205,10.9939
6138,54.8205,10.9939
6141,54.8275,11.3292
6141,54.8275,11.3292
6147,54.4536,12.1791
6147,54.879,12.1841
6147,54.879,12.1841
6149,54.5639,11.964
6149,54.56,11.9709
6149,54.5687,11.9435
6149,54.5687,11.9435
6151,55.1598,11.1339
6151,55.1593,11.1348
6151,55.1593,11.1348
6154,55.2075,11.8605
6154,55.2075,11.8605
6156,55.7154,11.7088
6156,55.7358,11.6035
6156,55.7358,11.6035
6159,55.7436,10.8691
6159,55.7435,10.8694
6159,55.7435,10.8694
6168,56.1193,12.3429
6168,56.1193,12.3424
6168,56.1193,12.3424
6169,56.0067,11.2805
6169,56.0064,11.2792
6169,56.0084,11.2785
6169,56.0083,11.2787
6169,56.0083,11.2787
6170,55.5867,12.1366
6170,55.5867,12.1366
6174,55.4634,12.1913
6174,55.3955,12.149
6174,55.3955,12.149
6180,55.614,12.6455
6180,55.614,12.6455
6181,55.7664,12.5263
6181,55.7664,12.5263
6183,55.5364,12.7114
6183,55.5364,12.7114
6183,55.5364,12.7114
6186,55.6814,12.5403
6186,55.6861,12.5439
6187,55.6886,12.5985
6188,55.8764,12.4121
6188,55.8764,12.4121
6190,55.0677,14.7494
6190,55.0677,14.7494
6193,55.2981,14.7726
6193,55.298,14.7738
6193,55.2979,14.7718
6193,55.2979,14.7718
6197,55.0557,15.0953
6197,55.0557,15.0953
20000,57.7363,10.6318
20030,57.5705,10.1073
20055,57.4185,9.7608
20085,57.4029,10.2705
20228,57.2214,10.4708
20279,56.9556,10.2275
20315,57.0105,10.0351
20375,57.0945,9.5253
20400,57.0143,9.2889
20552,56.7575,9.5059
20561,56.6509,9.7012
20561,56.6509,9.7012
20600,56.8136,9.8247
20670,56.7157,10.1645
21020,57.1518,8.9649
21080,56.951,8.3769
21100,56.7637,8.3207
21100,56.7793,8.3316
21120,56.8334,8.7297
21160,56.7637,9.0946
21208,56.5446,9.1916
21368,56.2934,9.1139
21430,56.2761,9.6256
21430,56.2745,9.6315
22020,56.5664,10.0983
22080,56.5062,10.4403
22162,56.1103,10.5466
22189,56.3037,10.6619
22232,56.308,10.1292
22232,56.3244,10.0791
22410,56.1496,9.7876
23100,55.961,9.7021
23133,55.7102,9.9962
23160,55.8314,9.5533
23327,55.4716,9.4847
23327,55.4716,9.4847
23360,55.2561,9.4715
24043,56.6553,8.5476
24102,56.3534,8.6201
24142,56.2604,8.1659
24171,56.184,8.4863
24380,55.9571,8.6196
24380,55.9126,8.5112
24380,55.9114,8.511
24430,56.0627,8.9855
24490,55.8527,9.0162
25045,55.723,8.3327
25161,55.5213,8.5231
25270,55.471,9.0906
25339,55.3286,8.7433
26210,55.147,9.2057
26340,55.0561,8.8326
26358,54.9872,8.6652
26450,55.0646,9.6811
27008,57.2746,11.0292
27082,55.8322,10.6185
28032,55.5677,10.3412
28032,55.5677,10.3412
28110,55.4927,9.8948
28188,55.4392,10.3063
28240,55.3042,10.7279
28240,55.3474,10.7618
28240,55.3474,10.7618
28280,55.3088,10.4398
28280,55.3257,10.438
28280,55.3257,10.438
28385,55.0977,10.1024
28552,54.7567,10.7094
