stationId,name,country,owner,type,status,stationHeight,barometerHeight,latitude,longitude,region,created,operationFrom,operationTo,updated,validFrom,validTo,wmoCountryCode,wmoStationId
4202,Pituffik,GRL,Mittafik/Grønlandske lufthavne,Synop,Active,,,76.5333,-68.75,4,2024-11-28T14:46:41Z,1948-12-31T00:00:00Z,,,1948-12-31T00:00:00Z,2006-10-16T00:00:00Z,6070,4202
4202,Pituffik,GRL,Mittafik/Grønlandske lufthavne,Synop,Active,76.5,,76.5311,-68.7031,4,2024-11-28T14:46:41Z,1948-12-31T00:00:00Z,,,2006-10-16T00:00:00Z,2019-01-15T13:34:47Z,6070,4202
4202,Pituffik,GRL,Mittafik/Grønlandske lufthavne,Synop,Active,77,59,76.5311,-68.7031,4,2024-11-28T14:46:41Z,1948-12-31T00:00:00Z,,,2019-01-15T13:34:47Z,,6070,4202
4203,Kitsissut,GRL,DMI,GIWS,Active,11,,76.7333,-73.1208,4,2024-11-28T14:46:41Z,1980-06-15T00:00:00Z,,,1980-06-15T00:00:00Z,2019-01-15T13:34:47Z,6070,4203
4203,Kitsissut,GRL,DMI,GIWS,Active,11,15,76.7333,-73.1208,4,2024-11-28T14:46:41Z,1980-06-15T00:00:00Z,,,2019-01-15T13:34:47Z,,6070,4203
4205,Qaanaaq,GRL,Mittafik/Grønlandske lufthavne,Synop,Active,,,77.4833,-69.2,4,2024-11-28T14:46:41Z,1964-01-01T00:00:00Z,,,1964-01-01T00:00:00Z,1980-07-01T00:00:00Z,6070,4205
4205,Mittarfik Qaanaaq,GRL,Mittafik/Grønlandske lufthavne,Synop,Active,16,,77.4853,-69.3744,4,2024-11-28T14:46:41Z,1964-01-01T00:00:00Z,,,1980-07-01T00:00:00Z,2019-01-15T13:34:47Z,6070,4205
4205,Mittarfik Qaanaaq,GRL,Mittafik/Grønlandske lufthavne,Synop,Active,16,17,77.4853,-69.3744,4,2024-11-28T14:46:41Z,1964-01-01T00:00:00Z,,,2019-01-15T13:34:47Z,,6070,4205
4208,Kitsissorsuit,GRL,DMI,GIWS,Active,40,,74.0606,-57.7231,4,2024-11-28T14:46:41Z,1981-09-10T00:00:00Z,,,1981-09-10T00:00:00Z,2019-01-15T13:34:47Z,6070,4208
4208,Kitsissorsuit,GRL,DMI,GIWS,Active,40,39.5,74.0606,-57.7231,4,2024-11-28T14:46:41Z,1981-09-10T00:00:00Z,,,2019-01-15T13:34:47Z,,6070,4208
4211,Mittarfik Upernavik,GRL,Mittafik/Grønlandske lufthavne,Synop,Active,126,,72.7903,-56.1306,4,2024-11-28T14:46:41Z,2000-10-23T00:00:00Z,,,2000-10-23T00:00:00Z,2019-01-15T13:34:47Z,6070,4211
