	Date	Init.	W.L [cm]	Board	Flow [l/s]	X-Sec.	Weed	Quality	Width [m]	Mean dept. [m]	Max.Dep. [m]	Hyd.Rad. [m]	V/R(2/3)	Mean. Vel. [m/s]	Max. Vel. [m/s]	Flow. Area [m²]	Wet Perim. [m]	Temp.  [C]	Comment
"1"	"19.12.2024 11:42"	"Nis"	3016,4	2		0	"0"	""											"TID=DNT"
"2"	"27.11.2024 08:35"	"RASP"	3014,5	2	6238,4	9	"0"	"Over middel"	15,18	0,66	0,83			0,63	1,34	9,98			"Afv. 4.6 %, SW 31.19/QRev 4.34 TID=DNT"
"3"	"31.10.2024 13:30"	"RASP"	3004,9	2	4440,9	9	"0"	"Over middel"	15,30	0,56	0,73			0,52	1,31	8,55			"Afv. 5.0 %, SW 31.19/QRev 4.34 TID=DNT"
"4"	"03.10.2024 14:30"	"kije"	3040,6	2	10817,3	10	"2"	"God"	15,20	0,80	1,04			0,89	1,55	12,12			"p10, gt2, stangmåling, Afv. 4.1 %, SW 31.19/QRev 4.34 TID=DNT"
"5"	"11.09.2024 11:35"	"kije"	3013,4	2	5134,9	10	"3"	"God"	14,68	0,55	0,77			0,64	1,35	8,02			"p10, stang  gt 2,, Afv. 4.2 %, SW 31.19/QRev 4.34 TID=DNT"
"6"	"15.08.2024 13:28"	"kije"	3004,6	2	4288,9	10	"3"	"Middel"	14,63	0,58	0,86			0,51	1,26	8,49			"gt3, p10 underbro,, Afv. 6.7 %, SW 31.19/QRev 4.34 TID=DNT"
"7"	"04.07.2024 11:24"	"kije"	2999,7	2	4876,0	10	"2"	"Over middel"	14,26	0,41	0,63			0,84	1,55	5,79			"p10, gt2, stang, Afv. 4.8 %, SW 31.19/QRev 4.34 TID=DNT"
"8"	"04.06.2024 13:59"	"kije"	2998,6	2	4698,6	10	"1"	"Over middel"	14,21	0,41	0,62			0,82	1,60	5,76			"p10, gt1, stang, Afv. 4.6 %, SW 31.19/QRev 4.34 TID=DNT"
"9"	"07.05.2024 12:04"	"kije"	3004,6	2	7067,9	10	"0"	"Over middel"	14,82	0,47	0,68			1,02	1,72	6,96			"p10, gt0, stang, Afv. 4.5 %, SW 31.19/QRev 4.34 TID=DNT"
"10"	"11.04.2024 10:56"	"kije"	3029,8	2	12393,3	10	"0"	"Over middel"	15,52	0,70	1,04			1,14	1,94	10,87			"p10, gt0, stang, Afv. 5.0 %, SW 31.19/QRev 4.34 TID=DNT"
"11"	"27.02.2024 13:08"	"kije"	3037,1	2	13607,8	10	"0"	"Over middel"	15,45	0,77	1,03			1,14	1,96	11,97			"P10, gt0, stangmåling, Afv. 4.8 %, SW 31.19/QRev 4.34 TID=DNT"
"12"	"02.02.2024 11:52"	"kije"	3028,1	2	11490,5	10	"0"	"Middel"	14,67	0,70	0,93			1,12	1,96	10,22			"p10, gt0, stang, Afv. 5.6 %, SW 31.19/QRev 4.34 TID=DNT"
